"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"11662",93.4530786424452,1.63326269366477,0.268160285165137,6.0906211099044,1.12473458892193e-09,8.61974196043922e-08
"10289",149.055403021224,3.07482694524363,0.505528141758434,6.08240509528931,1.18392977616746e-09,9.03253090943618e-08
"8984",637.234806904124,-0.972032598822034,0.159946826616317,-6.07722340846285,1.22281345889247e-09,9.26782004622004e-08
"12977",83.5955876540601,-0.949541468273425,0.156255709326875,-6.07684335096555,1.22571393419926e-09,9.26782004622004e-08
"17903",1285.20314732396,1.6096254206483,0.265147041538166,6.07068972488086,1.27362050384708e-09,9.58724909940352e-08
"19645",180.379028857718,1.30237564390493,0.214570811446844,6.0696775816014,1.2816729938741e-09,9.60517499878126e-08
"6463",1977.00785319667,1.27780798690037,0.210645406708028,6.06615642310928,1.31007542281727e-09,9.77477860628018e-08
"3038",269.273323172227,2.70127225849588,0.446772307816486,6.04619447364101,1.48307067790711e-09,1.10170035402249e-07
"2306",125.035270144811,1.65326656520777,0.273626740161851,6.04205043786971,1.52167877081474e-09,1.12544425071132e-07
"18842",652.717335877082,1.23482367076422,0.204452278583901,6.03966695464091,1.54432648551769e-09,1.13722859500927e-07
"1347",3037.34812176141,0.658155926889561,0.108999348531046,6.03816385840235,1.55877736561871e-09,1.14290096283481e-07
"4501",126.918640073089,7.68819156585621,1.27429822928743,6.03327493451463,1.60669711230607e-09,1.17295814616931e-07
"348",1239.93812221084,1.30631457644637,0.216821671692048,6.02483398569922,1.69283292816238e-09,1.23053696584919e-07
"14149",135.313714738619,1.08881646650001,0.180974475897724,6.01640900518673,1.78328664423638e-09,1.29074896980477e-07
"14276",950.279668839653,1.24892476768883,0.207660129968589,6.01427326409623,1.80695479724859e-09,1.30231461280848e-07
"15633",769.388432936198,2.37993418598335,0.396199528139953,6.00690817870603,1.89094533197461e-09,1.35707377490059e-07
"16046",386.994395428832,1.31446753112314,0.219097438927533,5.99946552345551,1.97968054865593e-09,1.41476158027787e-07
"20522",509.823975571111,2.05514974711547,0.342619238322224,5.99834894613436,1.99333820596007e-09,1.41853652077083e-07
"6914",6213.69584694918,1.21683620121319,0.20306288719347,5.99241061737606,2.06753079038224e-09,1.46517861910896e-07
"13510",411.531360858515,1.90961912682508,0.318917646371084,5.98781268002679,2.12681803768466e-09,1.50091321267771e-07
"14963",44.889083639403,1.75762140718596,0.293706758531847,5.98427293934871,2.17358569492616e-09,1.52755273506076e-07
